scan_id,broker,pair,rate_type,qty,buy,sell
000000020,InternetowyKantor,CHFPLN,unit price,1,47729,48129
000000020,InternetowyKantor,USDPLN,unit price,1,45009,45309
000000020,InternetowyKantor,GBPPLN,unit price,1,53517,53917
000000020,InternetowyKantor,NOKPLN,unit price,1,4505,4565
000000020,Cinkciarz,CHFPLN,50K price,1,47680,47935
000000020,Cinkciarz,EURPLN,50K price,1,46712,46976
000000020,Cinkciarz,GBPPLN,50K price,1,53547,53846
000000020,Cinkciarz,USDPLN,50K price,1,45011,45268
000000020,Cinkciarz,NOKPLN,50K price,1,4502,4564
000000020,Cinkciarz,CHFPLN,unit price,1,47614,48002
000000020,Cinkciarz,EURPLN,unit price,1,46650,47039
000000020,Cinkciarz,GBPPLN,unit price,1,53484,53907
000000020,Cinkciarz,USDPLN,unit price,1,44953,45326
000000020,Cinkciarz,NOKPLN,unit price,1,4502,4564
000000021,InternetowyKantor,EURPLN,unit price,1,46714,47013
000000021,InternetowyKantor,CHFPLN,unit price,1,47734,48134
000000021,InternetowyKantor,USDPLN,unit price,1,45021,45321
000000021,InternetowyKantor,GBPPLN,unit price,1,53526,53926
000000021,InternetowyKantor,NOKPLN,unit price,1,4505,4565
000000021,Cinkciarz,CHFPLN,50K price,1,47685,47939
000000021,Cinkciarz,EURPLN,50K price,1,46710,46974
000000021,Cinkciarz,GBPPLN,50K price,1,53559,53852
000000021,Cinkciarz,USDPLN,50K price,1,45020,45278
000000021,Cinkciarz,NOKPLN,50K price,1,4502,4564
000000021,Cinkciarz,CHFPLN,unit price,1,47615,48006
000000021,Cinkciarz,EURPLN,unit price,1,46647,47036
000000021,Cinkciarz,GBPPLN,unit price,1,53498,53915
000000021,Cinkciarz,USDPLN,unit price,1,44959,45333
000000021,Cinkciarz,NOKPLN,unit price,1,4502,4564
000000022,InternetowyKantor,EURPLN,unit price,1,46715,47015
000000022,InternetowyKantor,CHFPLN,unit price,1,47732,48132
000000022,InternetowyKantor,USDPLN,unit price,1,45020,45320
000000022,InternetowyKantor,GBPPLN,unit price,1,53522,53923
000000022,InternetowyKantor,NOKPLN,unit price,1,4505,4565
000000022,Cinkciarz,CHFPLN,50K price,1,47678,47936
000000022,Cinkciarz,EURPLN,50K price,1,46710,46974
000000022,Cinkciarz,GBPPLN,50K price,1,53556,53848
000000022,Cinkciarz,USDPLN,50K price,1,45023,45281
000000022,Cinkciarz,NOKPLN,50K price,1,4502,4564
000000022,Cinkciarz,CHFPLN,unit price,1,47612,48003
000000022,Cinkciarz,EURPLN,unit price,1,46647,47037
000000022,Cinkciarz,GBPPLN,unit price,1,53494,53911
000000022,Cinkciarz,USDPLN,unit price,1,44965,45339
000000022,Cinkciarz,NOKPLN,unit price,1,4502,4564
000000023,InternetowyKantor,EURPLN,unit price,1,46711,47011
000000023,InternetowyKantor,CHFPLN,unit price,1,47737,48137
000000023,InternetowyKantor,USDPLN,unit price,1,45021,45321
000000023,InternetowyKantor,GBPPLN,unit price,1,53522,53923
000000023,InternetowyKantor,NOKPLN,unit price,1,4504,4564
000000023,Cinkciarz,CHFPLN,50K price,1,47682,47943
000000023,Cinkciarz,EURPLN,50K price,1,46708,46974
000000023,Cinkciarz,GBPPLN,50K price,1,53556,53849
